smiles,mol_id,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,LogP,HBD,HBA,TPSA
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,TOX3021,0,0,1,,,0,0,1,0,0,0,0,258.324,1.3424,1,5,82.28
CCN1C(=O)NC(c2ccccc2)C1=O,TOX3020,0,0,0,0,0,0,0,,0,,0,0,204.229,1.2994,1,2,49.41
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,TOX3024,,,,,,,,0,,0,,,288.475,5.0903,1,1,20.23
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,TOX3027,0,0,0,0,0,0,0,,0,,0,0,276.424,3.75244,1,2,32.34
CC(O)(P(=O)(O)O)P(=O)(O)O,TOX20800,0,0,0,0,0,0,0,0,0,0,0,0,206.027,-0.9922,5,3,135.29
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,TOX5110,0,0,0,0,0,0,0,,0,0,0,0,290.444,4.8172,0,4,36.92
O=S(=O)(Cl)c1ccccc1,TOX6619,0,0,0,0,0,0,0,0,0,0,0,0,176.624,1.6141,0,2,34.14
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,TOX25232,0,,0,,1,,,1,0,1,0,1,621.934,4.6254,2,3,66.76
OC[C@H](O)[C@@H](O)[C@H](O)CO,TOX22514,0,0,0,0,0,0,0,0,0,0,,0,152.146,-2.9463,5,5,101.15
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],TOX22517,,,,,,,,0,,0,,,351.802,2.1911,0,4,80.26
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,TOX25236,0,0,0,,0,0,0,,0,,,0,663.43,-3.6479,7,18,321.09
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,TOX25238,0,0,,,0,0,0,0,0,0,0,0,354.1,-1.2181,3,6,104.55
CC(C)COC(=O)C(C)C,TOX6612,0,0,0,0,0,0,0,0,0,0,0,0,144.214,1.8416,0,2,26.3
C=C(C)C(=O)OCCOC(=O)C(=C)C,TOX6615,0,0,0,0,0,0,0,0,0,0,0,0,198.218,1.225,0,4,52.6
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,TOX15748,0,0,0,,0,0,,1,0,0,0,,215.708,0.2475,0,3,9.72
O=C([O-])Cc1cccc2ccccc12,TOX14833,0,0,0,0,0,0,1,0,0,0,0,0,185.202,1.1322,0,2,40.13
CCCCCCCCCCOCC(O)CN,TOX26529,0,0,0,,0,,,,,0,,,231.38,2.4633,2,3,55.48
CCN(CC)C(=O)c1cccnc1,TOX26524,0,0,0,0,,0,0,,0,,0,0,178.235,1.5636,0,2,33.2
COc1cc(O)cc(O)c1,TOX26525,0,0,,0,,,0,,0,0,0,0,140.138,1.1064,2,3,49.69
CCOC(=O)c1cccnc1,TOX26526,,,,,,,,0,,0,,,151.165,1.2583,0,3,39.19
CCOc1ccc(S(=O)(=O)O)c2cccnc12,TOX26521,0,0,,0,1,1,0,,0,,0,0,253.279,1.8802,1,4,76.49
O=C(O)[C@H](O)c1ccccc1,TOX26523,0,0,0,0,,0,0,0,0,0,0,0,152.149,0.8046,2,2,57.53
Nc1ccc(/N=N/c2ccccc2)cc1,TOX4460,0,0,1,,1,0,,1,1,0,,0,197.241,3.6842,1,3,50.74
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,TOX22631,0,0,1,,0,0,0,,0,,,,292.209,4.7895,1,1,12.03
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,TOX22632,0,0,0,0,0,0,0,0,0,0,,0,314.212,3.7754,0,3,29.54
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,TOX22633,0,0,0,,0,0,,0,0,0,,0,314.86,4.5284,0,2,6.48
C#CCO,TOX1883,0,0,0,0,0,0,0,0,0,0,0,0,56.064,-0.3881,1,1,20.23
Nc1ccccc1S(=O)(=O)O,TOX4463,0,0,0,0,0,0,0,0,0,0,,0,173.193,0.5155,2,3,80.39
CC(O)CC(C)(C)O,TOX1885,0,0,0,0,0,0,0,0,0,0,0,0,118.176,0.5282,2,2,40.46
