target,best_model,n_train,n_test,n_pos_test,rf_auc,xgb_auc,best_auc,best_ap
NR-AR,RandomForest,5812,1453,62,0.7559,0.7183,0.7559,0.4703
NR-AR-LBD,RandomForest,5406,1352,47,0.8068,0.8065,0.8068,0.5058
NR-AhR,RandomForest,5239,1310,154,0.9063,0.8858,0.9063,0.6072
NR-Aromatase,RandomForest,4656,1165,60,0.8627,0.8244,0.8627,0.4941
NR-ER,RandomForest,4954,1239,159,0.7148,0.6762,0.7148,0.4375
NR-ER-LBD,RandomForest,5564,1391,70,0.7904,0.7255,0.7904,0.4037
NR-PPAR-gamma,RandomForest,5160,1290,37,0.8134,0.7676,0.8134,0.2333
SR-ARE,RandomForest,4665,1167,188,0.8272,0.7866,0.8272,0.5549
SR-ATAD5,RandomForest,5657,1415,53,0.8875,0.8296,0.8875,0.3196
SR-HSE,RandomForest,5173,1294,74,0.7774,0.7256,0.7774,0.3235
SR-MMP,RandomForest,4648,1162,184,0.8775,0.8628,0.8775,0.6434
SR-p53,RandomForest,5419,1355,85,0.8431,0.8171,0.8431,0.3245
